Year,West_Bengal_Population_Numbers,West_Bengal_Population_Millions
2010,88622660.0,88.622656
2015,94596290.0,94.596288
2020,101023780.0,101.023776
2025,107376180.0,107.376176
2030,112278660.0,112.278656
2035,116645380.0,116.645376
2040,120449230.0,120.449232
2045,123780070.0,123.780072
2050,126453540.0,126.453536
2055,128381590.0,128.381592
2060,129517560.0,129.51756
2065,129979650.0,129.979648
2070,129717096.0,129.717096
2075,128738120.0,128.73812
2080,127185660.0,127.185664
2085,125137420.0,125.137424
2090,122674280.0,122.67428
2095,119806590.0,119.806592
2100,116743740.0,116.743744
